# build.sh 가 읽는다. cardmap.py 가 만들고 사람이 손본다 (T34).
# 카드id	섹션(0based)	판정	점수	차점	앞면	섹션제목
# 판정 OK = 자동 확정 · CHECK = 눈으로 볼 것 · NONE = 잇지 않는다
ch01-card-생명주기모형4가지	0	OK	28.8	8.4	**생명 주기 모형 4가지**	(1) 소프트웨어 생명 주기
ch01-card-나선형4활동	0	OK	14.5	1.5	**나선형 4활동**	(1) 소프트웨어 생명 주기
ch01-card-애자일4대가치	0	OK	13.6	4.4	**애자일 4대 가치**	(1) 소프트웨어 생명 주기
ch01-card-스크럼팀3역할	1	OK	19.0	4.6	**스크럼 팀 3역할**	(2) 스크럼(Scrum) 기법
ch01-card-스크럼프로세스5단계	1	OK	17.4	7.4	**스크럼 프로세스 5단계**	(2) 스크럼(Scrum) 기법
ch01-card-스프린트vs이터레이션주기	1	SEEN	6.5	6.1	**스프린트 vs 이터레이션 — 주기**	(2) 스크럼(Scrum) 기법
ch01-card-XP5대가치	2	OK	16.5	3.9	**XP 5대 가치**	(3) XP(eXtreme Programming) 기법
ch01-card-XP프로세스4단계	2	OK	13.5	8.3	**XP 프로세스 4단계**	(3) XP(eXtreme Programming) 기법
ch01-card-요구사항개발프로세스4단계	6	OK	14.5	7.8	**요구사항 개발 프로세스 4단계**	(7) 요구사항 개발 프로세스
ch01-card-DFD4기호	7	OK	23.3	10.1	**DFD 4기호**	(8) 요구사항 분석
ch01-card-자료사전기호6가지	7	OK	9.9	3.7	**자료 사전 기호 6가지**	(8) 요구사항 분석
ch01-card-정형명세기법4가지	6	OK	14.0	7.5	**정형 명세 기법 4가지**	(7) 요구사항 개발 프로세스
ch01-card-비정형명세기법4가지	6	OK	11.4	5.1	**비정형 명세 기법 4가지**	(7) 요구사항 개발 프로세스
ch01-card-요구사항분석CASE기술언어와분석기짝	8	OK	22.7	10.5	**요구사항 분석 CASE — 기술 언어와 분석기 짝**	(9) 요구사항 분석 CASE와 HIPO
ch01-card-HIPO3종	8	OK	29.0	1.2	**HIPO 3종**	(9) 요구사항 분석 CASE와 HIPO
ch01-card-UML구성3요소	9	SEEN	20.6	18.7	**UML 구성 3요소**	(10) UML(Unified Modeling Language)의 개요
ch01-card-UML관계6종	10	SEEN	29.1	19.7	**UML 관계 6종**	(11) UML — 관계(Relationship)
ch01-card-구조적다이어그램6종	11	SEEN	17.5	11.4	**구조적 다이어그램 6종**	(12) UML — 다이어그램
ch01-card-행위다이어그램7종	11	SEEN	17.6	13.8	**행위 다이어그램 7종**	(12) UML — 다이어그램
ch01-card-럼바우모델링단계와그단계가쓰는다이어그램	11	SEEN	11.1	11.5	**럼바우 모델링 — 단계와 그 단계가 쓰는 다이어그램**	(12) UML — 다이어그램
ch01-card-활동다이어그램모양이같은기호쌍	13	OK	16.8	7.8	**활동 다이어그램 — 모양이 같은 기호 쌍**	(14) 활동(Activity) 다이어그램
ch01-card-객체지향5원칙	19	OK	12.9	4.2	**객체지향 5원칙**	(20) 소프트웨어 개발 방법론
ch01-card-개발방법론별중심축5가지	19	OK	15.0	2.8	**개발 방법론별 중심축 5가지**	(20) 소프트웨어 개발 방법론
ch01-card-재사용방법2가지	20	OK	8.2	5.0	**재사용 방법 2가지**	(21) S/W 공학의 발전적 추세
ch01-card-하향식비용산정기법2가지	22	OK	20.3	10.6	**하향식 비용 산정 기법 2가지**	(23) 비용 산정 기법 — 하향식
ch01-card-상향식비용산정기법3가지	23	SEEN	27.6	20.0	**상향식 비용 산정 기법 3가지**	(24) 비용 산정 기법 — 상향식
ch01-card-LOC예측치공식	23	OK	14.7	7.2	**LOC 예측치 공식**	(24) 비용 산정 기법 — 상향식
ch01-card-LOC기반노력기간생산성공식	23	OK	13.3	6.6	**LOC 기반 노력·기간·생산성 공식**	(24) 비용 산정 기법 — 상향식
ch01-card-COCOMO개발유형3가지	24	OK	18.3	3.5	**COCOMO 개발 유형 3가지**	(25) 수학적 산정 기법
ch01-card-COCOMO모형3가지	24	OK	25.2	5.0	**COCOMO 모형 3가지**	(25) 수학적 산정 기법
